,eye,tStart,tEnd,duration,xAvg,yAvg,pupilAvg,stimuliName,name
0,R,10712422,10712855,434,741.8,354.9,3565,tigerair.png,Sub4.asc
1,R,10712917,10713433,517,412.6,328.5,2089,tigerair.png,Sub4.asc
2,R,10713460,10713574,115,363.3,327.9,1567,tigerair.png,Sub4.asc
3,R,10713689,10713900,212,300.5,309.3,1600,tigerair.png,Sub4.asc
4,R,10713965,10714115,151,651.8,485.5,1860,tigerair.png,Sub4.asc
5,R,10714169,10714364,196,872.1,681.9,1992,tigerair.png,Sub4.asc
6,R,10714405,10714588,184,745.9,710.5,1873,tigerair.png,Sub4.asc
7,R,10714644,10714786,143,470.3,662.9,1677,tigerair.png,Sub4.asc
8,R,10714836,10715040,205,288.5,666.3,1517,tigerair.png,Sub4.asc
9,R,10715092,10715478,387,249.1,558.8,1504,tigerair.png,Sub4.asc
10,R,10715784,10715971,188,282.9,540.3,2024,tigerair.png,Sub4.asc
11,R,10715989,10716210,222,268.0,527.3,2176,tigerair.png,Sub4.asc
12,R,10716240,10716341,102,325.7,516.1,2041,tigerair.png,Sub4.asc
13,R,10716446,10716619,174,1277.4,279.6,1567,tigerair.png,Sub4.asc
14,R,10716649,10717146,498,1241.0,271.0,1639,tigerair.png,Sub4.asc
15,R,10717201,10717537,337,1094.9,392.5,2155,tigerair.png,Sub4.asc
16,R,10717594,10717709,116,1245.9,253.6,2009,tigerair.png,Sub4.asc
17,R,10724181,10724579,399,725.2,370.7,3365,tigerair.png,Sub4.asc
18,R,10724625,10724760,136,818.2,316.4,3138,deviantart_wine.png,Sub4.asc
19,R,10724803,10724934,132,711.9,285.5,2944,deviantart_wine.png,Sub4.asc
20,R,10724994,10725313,320,875.0,553.9,2729,deviantart_wine.png,Sub4.asc
21,R,10725336,10725542,207,852.7,519.9,2780,deviantart_wine.png,Sub4.asc
22,R,10725596,10725693,98,710.2,364.6,2871,deviantart_wine.png,Sub4.asc
23,R,10726000,10726060,61,698.1,257.2,3082,deviantart_wine.png,Sub4.asc
24,R,10726123,10726302,180,705.4,83.4,3124,deviantart_wine.png,Sub4.asc
25,R,10726331,10726605,275,644.6,84.8,3176,deviantart_wine.png,Sub4.asc
26,R,10726638,10726690,53,708.2,103.8,3066,deviantart_wine.png,Sub4.asc
27,R,10726744,10726986,243,439.3,238.7,3085,deviantart_wine.png,Sub4.asc
28,R,10727012,10727385,374,415.1,243.8,3197,deviantart_wine.png,Sub4.asc
29,R,10727432,10727663,232,405.8,403.2,3371,deviantart_wine.png,Sub4.asc
30,R,10727690,10727896,207,388.7,450.4,3456,deviantart_wine.png,Sub4.asc
31,R,10727917,10728175,259,426.9,453.0,3434,deviantart_wine.png,Sub4.asc
32,R,10728217,10728394,178,309.3,469.0,3045,deviantart_wine.png,Sub4.asc
33,R,10728450,10729005,556,436.8,626.1,2752,deviantart_wine.png,Sub4.asc
34,R,10729050,10729359,310,564.4,623.4,2730,deviantart_wine.png,Sub4.asc
35,R,10729421,10729459,39,859.5,678.5,2814,deviantart_wine.png,Sub4.asc
36,R,10738149,10738854,706,715.9,373.1,2853,deviantart_wine.png,Sub4.asc
37,R,10738893,10739031,139,652.3,364.5,1668,opentrolley.png,Sub4.asc
38,R,10739078,10739342,265,580.1,310.7,1464,opentrolley.png,Sub4.asc
39,R,10739402,10739569,168,640.4,441.9,1341,opentrolley.png,Sub4.asc
40,R,10739584,10739703,120,630.7,424.3,1346,opentrolley.png,Sub4.asc
41,R,10739782,10740012,231,892.3,422.9,1327,opentrolley.png,Sub4.asc
42,R,10740061,10740423,363,1011.9,510.9,1664,opentrolley.png,Sub4.asc
43,R,10740467,10740873,407,1133.2,481.9,1734,opentrolley.png,Sub4.asc
44,R,10740943,10741279,337,576.6,485.7,1910,opentrolley.png,Sub4.asc
45,R,10741340,10741514,175,462.1,664.8,1839,opentrolley.png,Sub4.asc
46,R,10741532,10741680,149,439.6,660.1,1785,opentrolley.png,Sub4.asc
47,R,10741706,10741938,233,467.4,684.7,1735,opentrolley.png,Sub4.asc
48,R,10741963,10742148,186,509.5,674.5,1770,opentrolley.png,Sub4.asc
49,R,10742213,10742382,170,833.3,734.2,1698,opentrolley.png,Sub4.asc
50,R,10742409,10742568,160,769.7,719.0,1712,opentrolley.png,Sub4.asc
51,R,10742630,10742767,138,1118.6,760.5,1525,opentrolley.png,Sub4.asc
52,R,10742864,10743321,458,190.7,473.1,1663,opentrolley.png,Sub4.asc
53,R,10743354,10743411,58,242.5,526.6,1837,opentrolley.png,Sub4.asc
54,R,10747432,10747808,377,711.0,372.2,3209,opentrolley.png,Sub4.asc
55,R,10747836,10748025,190,752.7,358.5,2785,bbc_sport.png,Sub4.asc
56,R,10748042,10748481,440,704.4,353.3,1658,bbc_sport.png,Sub4.asc
57,R,10748540,10748699,160,1001.7,203.2,1305,bbc_sport.png,Sub4.asc
58,R,10748739,10748922,184,909.2,161.9,1312,bbc_sport.png,Sub4.asc
59,R,10748968,10749173,206,911.6,293.5,1375,bbc_sport.png,Sub4.asc
60,R,10749193,10749340,148,938.7,302.2,1473,bbc_sport.png,Sub4.asc
61,R,10749388,10749691,304,1070.5,295.8,1442,bbc_sport.png,Sub4.asc
62,R,10749712,10749914,203,1100.5,298.3,1479,bbc_sport.png,Sub4.asc
63,R,10749991,10750165,175,713.1,32.0,1697,bbc_sport.png,Sub4.asc
64,R,10750218,10750387,170,534.8,27.5,1851,bbc_sport.png,Sub4.asc
65,R,10750414,10750696,283,483.9,1.5,2005,bbc_sport.png,Sub4.asc
66,R,10750750,10751046,297,245.3,87.4,2133,bbc_sport.png,Sub4.asc
67,R,10751092,10751313,222,423.6,75.0,2018,bbc_sport.png,Sub4.asc
68,R,10751356,10751551,196,515.0,75.8,1963,bbc_sport.png,Sub4.asc
69,R,10751615,10751805,191,318.7,259.5,2108,bbc_sport.png,Sub4.asc
70,R,10751856,10752080,225,300.7,371.9,2230,bbc_sport.png,Sub4.asc
71,R,10752106,10752314,209,241.4,383.2,2191,bbc_sport.png,Sub4.asc
72,R,10752360,10752521,162,366.9,372.2,2037,bbc_sport.png,Sub4.asc
73,R,10752579,10752694,116,237.1,604.2,1887,bbc_sport.png,Sub4.asc
74,R,10756249,10756624,376,703.8,365.5,3117,bbc_sport.png,Sub4.asc
75,R,10756648,10756834,187,741.2,383.0,2534,science_news1.png,Sub4.asc
76,R,10756878,10757064,187,786.3,498.8,1767,science_news1.png,Sub4.asc
77,R,10757083,10757207,125,752.7,497.8,1574,science_news1.png,Sub4.asc
78,R,10757258,10757411,154,906.2,510.6,1412,science_news1.png,Sub4.asc
79,R,10757460,10757684,225,1065.9,509.7,1278,science_news1.png,Sub4.asc
80,R,10757714,10757857,144,1023.1,508.2,1286,science_news1.png,Sub4.asc
81,R,10757902,10758101,200,1123.7,501.8,1325,science_news1.png,Sub4.asc
82,R,10758149,10758495,347,934.1,616.4,1585,science_news1.png,Sub4.asc
83,R,10758536,10758816,281,1023.5,624.9,1410,science_news1.png,Sub4.asc
84,R,10758854,10759195,342,929.4,666.0,1423,science_news1.png,Sub4.asc
85,R,10759217,10759563,347,931.9,688.8,1626,science_news1.png,Sub4.asc
86,R,10759601,10759841,241,1032.5,703.5,1747,science_news1.png,Sub4.asc
87,R,10759878,10760070,193,1104.5,717.6,1683,science_news1.png,Sub4.asc
88,R,10760131,10760362,232,662.0,694.6,1816,science_news1.png,Sub4.asc
89,R,10760386,10760593,208,621.6,700.9,1823,science_news1.png,Sub4.asc
90,R,10760632,10760867,236,621.9,637.1,1822,science_news1.png,Sub4.asc
91,R,10760927,10761364,438,299.2,644.7,1822,science_news1.png,Sub4.asc
92,R,10761403,10761506,104,287.9,741.7,1635,science_news1.png,Sub4.asc
93,R,10765164,10765308,145,700.2,362.8,3022,science_news1.png,Sub4.asc
94,R,10765368,10765600,233,497.1,306.3,3030,nytimes_home_chinese.png,Sub4.asc
95,R,10765653,10765782,130,305.8,254.0,2304,nytimes_home_chinese.png,Sub4.asc
96,R,10765822,10766111,290,195.7,263.9,1691,nytimes_home_chinese.png,Sub4.asc
97,R,10766155,10766370,216,306.7,253.7,1531,nytimes_home_chinese.png,Sub4.asc
98,R,10766396,10766477,82,342.0,250.5,1571,nytimes_home_chinese.png,Sub4.asc
99,R,10766541,10766566,26,219.7,49.0,1664,nytimes_home_chinese.png,Sub4.asc
100,R,10766584,10766711,128,227.1,56.0,1774,nytimes_home_chinese.png,Sub4.asc
101,R,10766732,10766981,250,222.8,72.1,1991,nytimes_home_chinese.png,Sub4.asc
102,R,10767002,10767102,101,203.1,72.9,2103,nytimes_home_chinese.png,Sub4.asc
103,R,10767168,10767393,226,622.8,76.9,1997,nytimes_home_chinese.png,Sub4.asc
104,R,10767417,10767587,171,567.8,77.0,1927,nytimes_home_chinese.png,Sub4.asc
105,R,10767625,10767857,233,657.3,67.4,1953,nytimes_home_chinese.png,Sub4.asc
106,R,10767913,10768073,161,533.5,274.3,2202,nytimes_home_chinese.png,Sub4.asc
107,R,10768129,10768275,147,275.7,406.9,2372,nytimes_home_chinese.png,Sub4.asc
108,R,10768302,10768436,135,250.4,451.8,2310,nytimes_home_chinese.png,Sub4.asc
109,R,10768459,10768764,306,214.9,468.8,2175,nytimes_home_chinese.png,Sub4.asc
110,R,10768808,10769049,242,350.1,476.8,1775,nytimes_home_chinese.png,Sub4.asc
111,R,10769069,10769380,312,370.8,474.0,1559,nytimes_home_chinese.png,Sub4.asc
112,R,10769430,10769617,188,178.6,526.7,1536,nytimes_home_chinese.png,Sub4.asc
113,R,10769659,10769858,200,211.7,620.1,1702,nytimes_home_chinese.png,Sub4.asc
114,R,10769870,10769996,127,206.2,615.4,1872,nytimes_home_chinese.png,Sub4.asc
115,R,10770046,10770368,323,361.9,603.9,1871,nytimes_home_chinese.png,Sub4.asc
116,R,10774147,10774608,462,709.2,365.7,3074,nytimes_home_chinese.png,Sub4.asc
117,R,10774636,10774817,182,663.9,368.9,2167,scholarpedia.png,Sub4.asc
118,R,10774877,10775034,158,319.4,203.5,1568,scholarpedia.png,Sub4.asc
119,R,10775089,10775299,211,537.4,193.1,1374,scholarpedia.png,Sub4.asc
120,R,10775358,10775626,269,312.7,253.1,1504,scholarpedia.png,Sub4.asc
121,R,10775683,10775844,162,560.1,234.4,1705,scholarpedia.png,Sub4.asc
122,R,10775882,10776071,190,646.4,237.9,1887,scholarpedia.png,Sub4.asc
123,R,10776091,10776212,122,669.8,242.9,2014,scholarpedia.png,Sub4.asc
124,R,10776285,10776523,239,80.7,169.9,2143,scholarpedia.png,Sub4.asc
125,R,10776549,10776895,347,45.0,180.2,2139,scholarpedia.png,Sub4.asc
126,R,10776971,10777156,186,526.3,532.9,2274,scholarpedia.png,Sub4.asc
127,R,10777212,10777435,224,381.1,515.8,1922,scholarpedia.png,Sub4.asc
128,R,10777469,10777560,92,319.6,489.0,1577,scholarpedia.png,Sub4.asc
129,R,10777622,10778087,466,729.8,491.8,1385,scholarpedia.png,Sub4.asc
130,R,10778148,10778434,287,1069.7,518.5,1457,scholarpedia.png,Sub4.asc
131,R,10778474,10778838,365,1144.8,531.1,1511,scholarpedia.png,Sub4.asc
132,R,10778862,10779047,186,1110.1,496.1,1597,scholarpedia.png,Sub4.asc
