,eye,tStart,tEnd,duration,xStart,yStart,xEnd,yEnd,ampDeg,vPeak,stimuliName,order,name
0,R,10712856,10712916,61,736.5,358.4,416.5,302.6,9.48,344,tigerair.png,160.0,Sub4.asc
1,R,10713434,10713459,26,397.5,328.4,360.0,329.0,1.07,70,tigerair.png,128.00000000000003,Sub4.asc
2,R,10713575,10713688,114,362.1,331.5,299.7,319.6,1.82,1025,tigerair.png,102.40000000000002,Sub4.asc
3,R,10713901,10713964,64,299.5,306.5,678.2,501.0,13.07,483,tigerair.png,81.92000000000002,Sub4.asc
4,R,10714116,10714168,53,648.5,481.8,887.7,701.7,10.52,438,tigerair.png,65.53600000000002,Sub4.asc
5,R,10714365,10714404,40,870.4,674.7,738.1,714.1,3.94,217,tigerair.png,52.42880000000002,Sub4.asc
6,R,10714589,10714643,55,746.9,712.3,443.5,646.7,8.77,325,tigerair.png,41.94304000000002,Sub4.asc
7,R,10714787,10714835,49,471.3,668.2,261.7,662.2,5.75,248,tigerair.png,33.55443200000002,Sub4.asc
8,R,10715041,10715091,51,291.3,667.3,248.1,540.1,4.73,185,tigerair.png,26.843545600000013,Sub4.asc
9,R,10715479,10715783,305,247.2,548.9,276.6,546.6,0.81,1015,tigerair.png,21.47483648000001,Sub4.asc
10,R,10715972,10715988,17,289.1,539.5,271.7,536.4,0.49,49,tigerair.png,17.17986918400001,Sub4.asc
11,R,10716211,10716239,29,269.4,521.7,327.0,516.4,1.61,103,tigerair.png,13.743895347200008,Sub4.asc
12,R,10716342,10716445,104,321.1,517.6,1304.7,274.1,28.18,629,tigerair.png,10.995116277760006,Sub4.asc
13,R,10716620,10716648,29,1274.6,281.6,1241.0,271.9,0.97,66,tigerair.png,8.796093022208007,Sub4.asc
14,R,10717147,10717200,54,1241.7,267.5,1095.3,397.8,6.33,305,tigerair.png,7.036874417766406,Sub4.asc
15,R,10717538,10717593,56,1090.7,392.2,1257.6,248.0,7.08,240,tigerair.png,5.629499534213124,Sub4.asc
16,R,10724580,10724624,45,725.4,376.9,828.9,313.2,3.89,168,deviantart_wine.png,160.0,Sub4.asc
17,R,10724761,10724802,42,813.7,320.6,710.1,283.7,3.34,148,deviantart_wine.png,128.00000000000003,Sub4.asc
18,R,10724935,10724993,59,713.9,286.9,897.4,576.9,12.18,423,deviantart_wine.png,102.40000000000002,Sub4.asc
19,R,10725314,10725335,22,867.4,546.2,856.2,528.6,0.73,54,deviantart_wine.png,81.92000000000002,Sub4.asc
20,R,10725543,10725595,53,853.8,512.5,703.0,360.5,7.24,313,deviantart_wine.png,65.53600000000002,Sub4.asc
21,R,10725694,10725999,306,712.9,371.3,698.1,257.2,4.44,1321,deviantart_wine.png,52.42880000000002,Sub4.asc
22,R,10726061,10726122,62,697.2,258.8,710.4,73.8,7.15,250,deviantart_wine.png,41.94304000000002,Sub4.asc
23,R,10726303,10726330,28,706.8,81.8,650.4,87.6,1.65,101,deviantart_wine.png,33.55443200000002,Sub4.asc
24,R,10726606,10726637,32,641.4,82.2,705.2,102.2,2.0,110,deviantart_wine.png,26.843545600000013,Sub4.asc
25,R,10726691,10726743,53,703.6,103.5,420.5,251.6,9.96,421,deviantart_wine.png,21.47483648000001,Sub4.asc
26,R,10726987,10727011,25,443.5,234.9,404.8,241.9,1.14,81,deviantart_wine.png,17.17986918400001,Sub4.asc
27,R,10727386,10727431,46,425.1,244.5,399.7,421.1,6.81,337,deviantart_wine.png,13.743895347200008,Sub4.asc
28,R,10727664,10727689,26,408.7,399.9,383.7,447.1,1.93,157,deviantart_wine.png,10.995116277760006,Sub4.asc
29,R,10727897,10727916,20,391.1,451.9,422.9,450.2,0.91,82,deviantart_wine.png,8.796093022208007,Sub4.asc
30,R,10728176,10728216,41,422.0,457.6,305.0,463.4,3.3,155,deviantart_wine.png,7.036874417766406,Sub4.asc
31,R,10728395,10728449,55,306.2,474.1,466.5,640.0,7.57,355,deviantart_wine.png,5.629499534213124,Sub4.asc
32,R,10729006,10729049,44,429.0,624.0,580.7,617.6,4.26,182,deviantart_wine.png,4.503599627370501,Sub4.asc
33,R,10729360,10729420,61,566.5,629.1,869.8,673.7,8.65,281,deviantart_wine.png,3.6028797018964007,Sub4.asc
34,R,10738855,10738892,38,701.6,390.9,655.8,362.0,1.74,79,opentrolley.png,160.0,Sub4.asc
35,R,10739032,10739077,46,652.5,364.9,572.5,300.8,3.4,139,opentrolley.png,128.00000000000003,Sub4.asc
36,R,10739343,10739401,59,579.0,311.9,647.8,449.7,5.66,346,opentrolley.png,102.40000000000002,Sub4.asc
37,R,10739570,10739583,14,639.4,443.2,632.7,430.6,0.52,47,opentrolley.png,81.92000000000002,Sub4.asc
38,R,10739704,10739781,78,629.0,422.9,902.6,419.9,7.89,309,opentrolley.png,65.53600000000002,Sub4.asc
39,R,10740013,10740060,48,890.8,423.5,1017.9,524.1,5.22,224,opentrolley.png,52.42880000000002,Sub4.asc
40,R,10740424,10740466,43,1013.0,507.7,1138.5,487.3,3.56,141,opentrolley.png,41.94304000000002,Sub4.asc
41,R,10740874,10740942,69,1133.0,482.3,539.6,484.4,16.62,500,opentrolley.png,33.55443200000002,Sub4.asc
42,R,10741280,10741339,60,577.1,487.3,457.6,675.6,7.7,344,opentrolley.png,26.843545600000013,Sub4.asc
43,R,10741515,10741531,17,464.0,665.1,445.0,660.7,0.55,46,opentrolley.png,21.47483648000001,Sub4.asc
44,R,10741681,10741705,25,439.8,661.4,466.4,684.4,1.11,109,opentrolley.png,17.17986918400001,Sub4.asc
45,R,10741939,10741962,24,467.6,678.5,504.2,677.2,1.02,70,opentrolley.png,13.743895347200008,Sub4.asc
46,R,10742149,10742212,64,508.5,673.3,865.6,741.7,10.17,301,opentrolley.png,10.995116277760006,Sub4.asc
47,R,10742383,10742408,26,824.6,731.7,778.8,719.3,1.34,92,opentrolley.png,8.796093022208007,Sub4.asc
48,R,10742569,10742629,61,768.8,721.6,1149.9,765.1,10.4,337,opentrolley.png,7.036874417766406,Sub4.asc
49,R,10742768,10742863,96,1105.9,755.0,160.3,461.6,27.38,702,opentrolley.png,5.629499534213124,Sub4.asc
50,R,10743322,10743353,32,196.7,472.9,238.0,520.6,2.09,118,opentrolley.png,4.503599627370501,Sub4.asc
51,R,10747809,10747835,27,710.6,374.6,753.8,356.8,1.43,92,bbc_sport.png,160.0,Sub4.asc
52,R,10748026,10748041,16,745.0,368.3,727.7,367.6,0.5,49,bbc_sport.png,128.00000000000003,Sub4.asc
53,R,10748482,10748539,58,699.4,344.1,1035.6,198.9,11.15,371,bbc_sport.png,102.40000000000002,Sub4.asc
54,R,10748700,10748738,39,1000.8,201.2,902.8,156.4,3.29,165,bbc_sport.png,81.92000000000002,Sub4.asc
55,R,10748923,10748967,45,909.5,160.9,916.1,314.9,5.94,305,bbc_sport.png,65.53600000000002,Sub4.asc
56,R,10749174,10749192,19,908.6,289.7,931.0,298.9,0.74,73,bbc_sport.png,52.42880000000002,Sub4.asc
57,R,10749341,10749387,47,937.8,303.6,1089.1,301.3,4.28,144,bbc_sport.png,41.94304000000002,Sub4.asc
58,R,10749692,10749711,20,1067.5,292.6,1100.2,299.9,0.96,77,bbc_sport.png,33.55443200000002,Sub4.asc
59,R,10749915,10749990,76,1099.5,296.6,694.4,21.0,15.53,412,bbc_sport.png,26.843545600000013,Sub4.asc
60,R,10750166,10750217,52,717.7,33.3,529.5,32.5,5.41,223,bbc_sport.png,21.47483648000001,Sub4.asc
61,R,10750388,10750413,26,533.4,22.9,488.4,13.5,1.34,89,bbc_sport.png,17.17986918400001,Sub4.asc
62,R,10750697,10750749,53,485.8,2.6,237.9,95.2,7.78,282,bbc_sport.png,13.743895347200008,Sub4.asc
63,R,10751047,10751091,45,248.5,87.4,438.1,71.5,5.37,224,bbc_sport.png,10.995116277760006,Sub4.asc
64,R,10751314,10751355,42,420.0,78.0,522.6,75.7,2.94,142,bbc_sport.png,8.796093022208007,Sub4.asc
65,R,10751552,10751614,63,514.5,75.3,311.6,269.6,9.4,342,bbc_sport.png,7.036874417766406,Sub4.asc
